Jan,Feb,Mar,Apr,May,jun,july,aug,Sep,Oct,Nov,Dec
0.264,0.069,0.133,0.110,0.052,0.052,0.062,0.043,0.054,0.055,0.027,0.079
0.131,0.037,0.098,0.133,0.051,0.062,0.101,0.041,0.090,0.076,0.048,0.130
0.120,0.057,0.056,0.138,0.061,0.087,0.056,0.063,0.083,0.085,0.045,0.149
0.059,0.036,0.066,0.094,0.048,0.130,0.090,0.063,0.049,0.106,0.095,0.164
0.071,0.048,0.108,0.120,0.117,0.088,0.066,0.039,0.085,0.054,0.040,0.165
0.037,0.031,0.103,0.096,0.052,0.080,0.069,0.067,0.110,0.085,0.049,0.221
0.075,0.033,0.135,0.086,0.056,0.137,0.073,0.035,0.133,0.057,0.086,0.093
0.056,0.035,0.061,0.091,0.077,0.103,0.067,0.107,0.135,0.110,0.061,0.097
0.042,0.030,0.123,0.167,0.081,0.079,0.067,0.046,0.125,0.105,0.052,0.083
0.062,0.102,0.053,0.095,0.123,0.084,0.052,0.054,0.094,0.122,0.073,0.085
0.027,0.060,0.037,0.097,0.013,0.102,0.096,0.079,0.127,0.153,0.100,0.109
